canonical_or_candidate,observed_form,candidate_type,confidence,suggested_reference_name,reference_similarity,sources,sample_occurrences,first_video,first_timestamp,first_youtube_url,first_context
Faham Gohbadi,Faham Gohbadi,unverified_candidate,low,,0.5,Whisper,1,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,"provides news to Iranian audiences in Farsi. Faham Gohbadi is a senior reporter at BBC Persian, and earlier he updated me on what people in Iran are telling him. Many people who have texted me in the p…"
Fair Share,Fair Share,unverified_candidate,low,,0.636,YouTube captions,1,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",02:20:23,https://www.youtube.com/watch?v=2e9z74OALRs&t=8423s,opening the president did his interesting whisper thing where he says pay your Fair Share three times pay your fair share pay a fair share well according to the IRS a nonpartisan group the top five percent of income earners pay 60 per…
Fall Apart,Fall Apart,unverified_candidate,low,,0.7,YouTube captions,1,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",02:20:23,https://www.youtube.com/watch?v=2e9z74OALRs&t=8423s,…use people have the internet they know what people are paying I think dude dude even like light policy discussion and they just like straight up Fall Apart their rhetoric is so good when it comes to like making up culture War issues and like really hammering it in but the moment that you ask them li…
Farah Gobadi,Farah Gobadi,unverified_candidate,low,,0.609,YouTube captions,1,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,audiences in Farsy. Farah Gobadi is a senior reporter at BBC Persian and earlier he updated me on what people in Iran are telling him. Many people who have texted me in the pas…
Fear Ann,Fear Ann,unverified_candidate,low,,0.706,Whisper,1,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",00:28:31,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=1711s,"…ur house on my hip. Yeah, now with the fucking tears. It's funny because like all of the things that we're talking about right now are memes from Fear Ann, but the episode doesn't come out yet. So you have no idea. You have no idea what we're talking about, but Cutie Cinderella's experiencing a boob…"
Fear Anne,Fear Anne,unverified_candidate,low,,0.667,YouTube captions,1,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",00:28:31,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=1711s,"…ouse on my hip. Yeah, now with the [ __ ] terrorist. It's funny because like all of the things that we're talking about right now are memes from Fear Anne, but the episode hasn't come out yet, so you have no idea. You have no idea what we're talking about. But Cutie Cinderella is experiencing a boo…"
Ford SUV,Ford SUV,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi June 16, 2025 –",08:09:17,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=29357s,"…he residence officer found two adults, male and female, who had been shot. Video surveillance footage from the exterior of the residence showed a Ford SUV, the police-style lights parked"
Fortune Editor,Fortune Editor,unverified_candidate,low,,0.56,Whisper,1,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",00:14:41,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=881s,"…est here outside phoenix, arizona the kind of a place where only the tuck survives, where the only law was the gun. John Donovan, a soldier of Fortune Editor. You appreciate how some members of the general public"
Fox News Pentagon,Fox News Pentagon,unverified_candidate,low,,0.516,Whisper,1,"HasanAbi June 16, 2025 –",06:15:59,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=22559s,…ng cultish losers but it seems like we have the same level of cultish fucking morons on our side too on the Democratic side too Liz fried in Fox News Pentagon the US is not
Free Palestine,Free Palestine,unverified_candidate,low,,0.769,YouTube captions,1,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",00:12:02,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=722s,…to their home at last we see the LI claiming a STI submited to the anti Jewish brothers and sisters out there then in solidarity and screaming Free Palestine with them organizing and learning and finally couldn't St with this fate that's got to rely on a part TI system to upholding occupying violent…
Gaza SE,Gaza SE,unverified_candidate,low,,0.667,YouTube captions,1,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",03:26:02,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=12362s,…o torch that deal and continue the genocide with a steady flow of Us weapons and political support here's one of the stories I wrote about in the Gaza SE fire exchange of captives deal that could have been signed in the summer and how the US facilitated nyaho sabotage the dominant us Israeli narrat…
Gaza Strip,Gaza Strip,unverified_candidate,low,,0.636,Whisper,1,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",00:02:37,https://www.youtube.com/watch?v=efOqmjyE1RU&t=157s,"Or even the Zionists of my school think what Israel what Israel's doing is fucked terrible fucking take The bombing of civilian homes in Gaza Strip now, dude, I can't show that what the fuck you said is Okay, never mind It's not there is no blood or to us, but I mean look at this shit Andrew…"
General Dan Raisin-Kane,General Dan Raisin-Kane,unverified_candidate,low,,0.488,Whisper,1,"HasanAbi April 3, 2026 –",02:16:39,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=8199s,"…with the boss about the political and economic crisis. That's from the, that's from the time article, right? This is the same thing that General Dan Raisin-Kane did in the lead up when the naval assets were building up in the region. If you remember, he went to the president, obviously, as you're…"
General Raisin,General Raisin,unverified_candidate,low,,0.593,YouTube captions,1,"HasanAbi April 3, 2026 –",02:16:39,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=8199s,"…ght with the boss about the political and economic crisis. That's from the um that's from the Time article, right? This is the same thing that General Raisin, Dan Raisen Kaine did in the leadup when the naval assets were building up in the region. If you"
God Ben Cohen,God Ben Cohen,unverified_candidate,low,,0.552,YouTube captions,1,"HasanAbi January 20, 2025 – TRUMP INAUGURATION 2 - Electric Boogaloo, Elon Musk salute",00:26:25,https://www.youtube.com/watch?v=vIRVK9Dulsw&t=1585s,…ke everything is bad and it will continue getting worse and I don't mean that because like oh I got owned and um Donald Trump is is wait oh my God Ben Cohen hit me
God Benjamin Netanyahu,God Benjamin Netanyahu,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi April 19, 2026 –",04:18:23,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=15503s,…a and pizza which was also invented by Israel that's right tacos another Israeli invention I wake up every morning and I thank God I thank God Benjamin Netanyahu that's who my God is I thank him I have an altar dedicated to him and I think to myself thank you for existing thank you for
Gonna Run,Gonna Run,unverified_candidate,low,,0.6,YouTube captions,1,"HasanAbi October 31, 2022 – South Korea Crowd Crush, Pelosi attack, SCOTUS Affirmative Action, LULA🎮",00:26:10,https://www.youtube.com/watch?v=1L9JH9HO3Bg&t=1570s,…because I love capitalism I hate socialism I'm a fake grifter and I love capitalism that's the that's the reason if I don't run the ads Amazon's Gonna Run them so no matter what happens ads are going to be run on this inventory this is the most socialist streamer once an hour four minutes twice an…
Google Chrome,Google Chrome,unverified_candidate,low,,0.522,Whisper,1,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",01:53:53,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=6833s,"…is it you run ads? Because your mommy wants me to. But what the fuck? What's going on? So much content has comfy. I just like break my fucking Google Chrome for a second. Was there as well? How do you have a three out of five on wiki feet? Dude, I don't know. I myself just made some dollars with my…"
Great Clips,Great Clips,unverified_candidate,low,,0.64,YouTube captions,1,"HasanAbi November 29, 2022 – RAIL STRIKE, US vs Iran ⚽, Liver King isn't natty?, Crowder on Kanye",07:09:50,https://www.youtube.com/watch?v=AYjjdzauaao&t=25790s,…nal stuff you have to think about for no [ __ ] reason you know what I mean and when it comes down to like getting a haircut a great uh at like Great Clips or whatever the [ __ ] is called like you know you could I I don't know you're you're on camera like you can very easily get a decent haircut t…
Green Beret,Green Beret,unverified_candidate,low,,0.72,YouTube captions,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,…cenaries in Gaza what the [ __ ] it involves Eric Prince Stuart Switz the ex Obama official who [ __ ] harassed the Halal truck and got fired a Green Beret who worked with the CIA the man at the center is a passionate supporter of kamla Harris Mo Kahana says he's talking to the Israeli government a…
Hailey Stevens,Hailey Stevens,unverified_candidate,low,,0.593,Whisper,1,"HasanAbi August 3, 2026 – back in Michigan",01:47:49,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=6469s,"…inction between a socialist and a communist, is beautiful. He's reading theory. Yeah, it's beautiful. Yeah, Trump is like, yeah, that's right. Hailey Stevens, she's a revisionist. Wait, what DSA caucus would Trump be part of? What do you think? I mean, he is JD Pond, so it would be bread and revolut…"
Haley Stevens,Haley Stevens,unverified_candidate,low,,0.615,YouTube captions,1,"HasanAbi August 3, 2026 – back in Michigan",01:47:49,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=6469s,"…and a communist. >> He's learning >> is beautiful. >> He's reading theory. >> Yeah, it's beautiful. Yeah. Trump is like, ""Yeah, that's right."" Haley Stevens. She's a revisionist. >> Wait, what DSA caucus would Trump be part of? What do you think? >> Um, I mean, he is JD Pond, so it would be Bread a…"
Harris Mo Kahana,Harris Mo Kahana,unverified_candidate,low,,0.513,YouTube captions,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,…[ __ ] harassed the Halal truck and got fired a Green Beret who worked with the CIA the man at the center is a passionate supporter of kamla Harris Mo Kahana says he's talking to the Israeli government about creating a pilot program for gated communities controlled by private US Security Forces tha…
Harry Styles,Harry Styles,unverified_candidate,low,,0.609,YouTube captions,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,Mark Zuckerberg to Harry Styles. >> I actually remember when people were looking at Zuck's [ __ ] >> I want to see I want to see the Zuck. >> I think it was a pretty standard…
Hasan Piker,Hasan Piker,unverified_candidate,low,,0.593,Whisper,1,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,02:12:03,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=7923s,"…p and down. A little up and down there, but I think they're just gonna let it slide. You like that wake? I knew what that was. You did. Oh, and Hasan Piker's gonna find the rim again. Bryce looks like they're using a little bit of the Nor strategy. And if you can't beat him, join him,"
Hassan Abbey,Hassan Abbey,unverified_candidate,low,,0.56,Whisper,1,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",00:14:32,https://www.youtube.com/watch?v=RP8ec-blRTw&t=872s,"don't tell them you watch, which are at least the Hassan Abbey broadcast. Are you feeling well? Yeah, I'm feeling pretty good. Did he get it? Thank you for the five months. Now, of course, the reason why I,…"
Hassan Let The Boy,Hassan Let The Boy,unverified_candidate,low,,0.488,YouTube captions,1,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",03:26:02,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=12362s,…cting the ceas fire deal in Gaza and that is an epic lie that Anthony blinkin has promoted more than anyone else on the planet all all right Hassan Let The Boy SP them out okay you're right no no no I'm I'm chilling I'm just here dude yeah I wanted to I wanted to cover this stuff uh to the best of m…
Hassan Per,Hassan Per,unverified_candidate,low,,0.609,YouTube captions,1,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",05:26:57,https://www.youtube.com/watch?v=g_ckJoumpP0&t=19617s,"…know anything about those people or care about them. They just hate them because they see them as being linked to Hassan. It all stems for from Hassan Per. >> These people, they wake up and they"
Henry Cuellar,Henry Cuellar,unverified_candidate,low,,0.72,Whisper,1,"2/2 HasanAbi March 1, 2022 – Biden State of the Union, 🎮Elden Ring🎮",03:09:05,https://www.youtube.com/watch?v=xlKXxrwRKak&t=11345s,"…know. The only good thing is, apparently, currently, there is a... I can... Okay, while this is all going on, there is a... Jessica Cisneros, Henry Cuellar, face-off going in the first major Democratic Party clash of 2022. And it turns out polls in Texas closed at 7 p.m. local time, and Jessica Ci…"
Hey Hey,Hey Hey,unverified_candidate,low,,0.571,Whisper,1,"2/2 HasanAbi August 25, 2021 – SupCaitlin visits, Ranking Streamers, Sodapoppin Incel Arc, Joe Rogan",03:48:06,https://www.youtube.com/watch?v=jkDIp853GTA&t=13686s,"…last thing we're gonna watch. Okay Now he's not famous. I'm out and I'm feeling you know, you're in trouble. Why oh shit that crypto shit this is Hey Hey, how are we doing though? Real good. You're good. I just did a podcast with tanimojo It was so raw so real"
Hey Zero,Hey Zero,unverified_candidate,low,,0.588,Whisper,1,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,01:30:27,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,"…Man that rims getting a lot of attention today wake. Oh Man, and if a rims getting attention Austin knows about it That's right, man nil nil here Hey Zero-point scored on 42 shots 2-1 coming away with the first two points first two points of the day, which is a shock. I Cypher Threading that needle…"
House Majority Whip Tom,House Majority Whip Tom,unverified_candidate,low,,0.531,YouTube captions,1,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",01:51:07,https://www.youtube.com/watch?v=i8YmtStCJJo&t=6667s,fam House Majority Whip Tom emmer hello hello Tom representative Brian Style thank you Brian thank you very much digital assets Council director Bo hin good Bo great…
House Speaker Nancy Pelosi,House Speaker Nancy Pelosi,unverified_candidate,low,,0.431,Whisper,1,"HasanAbi October 31, 2022 – South Korea Crowd Crush, Pelosi attack, SCOTUS Affirmative Action, LULA🎮",04:21:42,https://www.youtube.com/watch?v=1L9JH9HO3Bg&t=15702s,"…Party. That's it. But we're gonna begin this hour with the latest on the shocking attack on Paul Pelosi. As you know, he's a husband of House Speaker Nancy Pelosi. The suspect in the assault is expected to be formally charged later today on counts, including attempted murder. Speaker Pelosi was not…"
If America,If America,unverified_candidate,low,,0.667,Whisper,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",02:02:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=7361s,"…es, America regularly fucking refills all of their offensive munitions as well. The idea that they will simply not run out of fucking munitions. If America wasn't steadily supplying them with a rear with armaments, with munitions, with bombs is wrong. Okay. But it doesn't even matter the moment that…"
In March Megan Kelly,In March Megan Kelly,unverified_candidate,low,,0.465,Whisper,1,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,…they're talking about something so childish. They have to throw a bomb in there. So they had to be like well Obama did it too. Yeah. Yeah. In March Megan Kelly took the X and accused the conservative commentator Mark Levin of having a micro penis and also give him a catchy Trumpian nickname micro p…
Industrial Revolution,Industrial Revolution,unverified_candidate,low,,0.634,YouTube captions,1,"1/2 HasanAbi November 1, 2021 – TUCKER JAN 6th Doc, NFT Theft, COP26, Elon Musk ends world hunger?",01:16:43,https://www.youtube.com/watch?v=-XxGMtNTS9s&t=4603s,…o six years ago um regardless though of course uh China and India and other countries that are still at the precipice of like their own uh Industrial Revolution are still at the tail end of their own Industrial Revolution are greatly going to increase uh their their you know their need for coal tha…
Iran That,Iran That,unverified_candidate,low,,0.632,Whisper,1,"HasanAbi April 19, 2026 –",00:17:41,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=1061s,…got that's all I got Personal news wise you were on all three networks CNN MS now and Fox News the Trump thugs to blow up the entire country of Iran That's pretty cool. Hamas a thousand times better than this one machine-raised device Democrats over Israel and parties future outside criticized for…
Iran We,Iran We,unverified_candidate,low,,0.667,Whisper,1,"1/2 HasanAbi March 6, 2022 – Russian Invasion Day 11: No-Fly Zones, Venezuela Sanctions, SNL",00:59:37,https://www.youtube.com/watch?v=22VZ5B9EcgI&t=3577s,"…o even control their own currency not allowing them rendering them unable to do To combat inflation Okay, and we do this to many countries to the Iran we do this to Venezuela we do this to Yemen And the reality is for those of you saying Venezuela was starving before the sanctions. There is truth t…"
Iranian Defense Minister,Iranian Defense Minister,unverified_candidate,low,,0.537,Whisper,1,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,"…er has said recently after the last night, barrage of missiles that Iran shot at Israel and at least eight people, Israelis, were killed. Iranian Defense Minister said that residents of Tehran will pay the price for that, and soon they will pay the price for that. Right after that, there was a repor…"
Is Emma Libb,Is Emma Libb,unverified_candidate,low,,0.485,Whisper,1,"1/2 HasanAbi August 5, 2021 – Crowder gets surgury, Fauci on Delta, Bill Gates on Epstein, ICU Vlogs",01:31:50,https://www.youtube.com/watch?v=3ha9GYJvlrQ&t=5510s,"…r that. And a lot of people, like a lot of Marxist Leninists, for example, fuckin' hate that approach. Okay, because I'm a fuckin' revisionist. Is Emma Libb. Be careful about that. The data on that are not strong, George. Dr. Fauci, thanks as always for your time and your information. Good to be wit…"
Israel American,Israel American,unverified_candidate,low,,0.759,YouTube captions,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,new drop sign news Israel American businessman pitching 200 million plan to deploy mercenaries in Gaza what the [ __ ] it involves Eric Prince Stuart Switz the ex Obama officia…
Israeli Defense Minister,Israeli Defense Minister,unverified_candidate,low,,0.636,Whisper,1,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,"…. People don't know what we are going through. For example, one of the things that Iranian people are extremely worried about is what the Israeli Defense Minister has said recently after the last night, barrage of missiles that Iran shot at Israel and at least eight people, Israelis, were killed. Ir…"
JD Vans,JD Vans,unverified_candidate,low,,0.8,YouTube captions,1,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",02:55:55,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=10555s,…ce building [ __ ] homes 3 million units are you [ __ ] kidding me I can only nut so hard [ __ ] man these people are so [ __ ] stupid yeah I saw JD Vans pissing in uh or posing next to women the urinal or some [ __ ] the reason why you have inflation is not because of [ __ ] regular uh regular Sup…
Jean-Luc Brunel,Jean-Luc Brunel,unverified_candidate,low,,0.606,Whisper,1,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",04:36:15,https://www.youtube.com/watch?v=RP8ec-blRTw&t=16575s,The other person who has gone to ground is Jean-Luc Brunel the French model agent who is also accused of sexual abuse and Supplying Epstein with underage models who were conveniently housed in and tra…
Jeff Bays,Jeff Bays,unverified_candidate,low,,0.737,Whisper,1,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",01:01:30,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=3690s,"Remember the third grade when Jeff Bays and Bill Gates came to our school to teach us socialism They also gave us bread good times. Of course, dude Your common with excuse by Afghanist…"
Jeff Bezos,Jeff Bezos,unverified_candidate,high,Jeff Bezos,1.0,Whisper,1,"1/2 HasanAbi November 18, 2021 – Hasan gets a Haircut, Ahmaud Arbery & Rittenhouse Trials, CHANNEL 5",02:42:03,https://www.youtube.com/watch?v=Yda6HZ0biOU&t=9723s,…I used to think America is run by very common and good leaders and I moved here now I have more respect for Premier G put Lenin's corpse in the Jeff Bezos mecca okay that's all I'm saying it would be fucking sick and then have and then have that be automated how that be automated to beat the fuckin…
Jeremy Scahill,Jeremy Scahill,canonical_or_alias,high,Jeremy Scahill,1.0,Whisper,1,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",03:26:02,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=12362s,"…that, however, there is a ceasefire negotiation. I don't know if you read into this at all. If you're familiar with this ceasefire. No, here's Jeremy Scahill saying important to note that the Gaza ceasefire deal that may be re soon is overwhelmingly consumed with the deal. Hamas officially agreed to…"
Jessica Cisneros,Jessica Cisneros,unverified_candidate,low,,0.645,Whisper,1,"2/2 HasanAbi March 1, 2022 – Biden State of the Union, 🎮Elden Ring🎮",03:09:05,https://www.youtube.com/watch?v=xlKXxrwRKak&t=11345s,"…given up, so, you know. The only good thing is, apparently, currently, there is a... I can... Okay, while this is all going on, there is a... Jessica Cisneros, Henry Cuellar, face-off going in the first major Democratic Party clash of 2022. And it turns out polls in Texas closed at 7 p.m. local time…"
Jewish Emma Vigland,Jewish Emma Vigland,unverified_candidate,low,,0.55,YouTube captions,1,"HasanAbi April 3, 2026 –",06:09:28,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,"[ __ ] mind."" Emma Vigland for example you know majority report Sam Cedar is Jewish Emma Vigland is a white woman you can't make that same argument about them you can make it however about Zoramani you can make that argument about Abdul…"
Jihan Eli,Jihan Eli,unverified_candidate,low,,0.667,YouTube captions,1,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",00:07:23,https://www.youtube.com/watch?v=2e9z74OALRs&t=443s,…h some of you have noticed that uh I let my hair down today people forget how long my hair has become now it's very very long I I I'm officially Jihan Eli thank you for the 25 gifted Subs yep my hair is [ __ ] getting to a point where it's my hair is [ __ ] getting to a point where it's super long…
Jihan Yili,Jihan Yili,unverified_candidate,low,,0.636,Whisper,1,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",00:07:23,https://www.youtube.com/watch?v=2e9z74OALRs&t=443s,…way I'm late you know there's a lot to talk about anyway today people forget how long my hair has become now it's very very long I'm officially Jihan Yili thank you for the 25 gifted subs yep my hair is fucking getting to a point where it's my hair is fucking getting to a point where it's super lon…
Jill Yeah,Jill Yeah,unverified_candidate,low,,0.632,Whisper,1,"HasanAbi October 16, 2019 –",08:26:47,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=30407s,"…omething You don't have to fucking buy a $20,000 bedroom to to do it You know what I mean like you can do it You can do it in economy homie like Jill Yeah, but in economy I get weird looks Good morning. Just woke up and You think it takes out in the aisle This bed is really really long and actually…"
Joe Scarboro,Joe Scarboro,unverified_candidate,low,,0.583,YouTube captions,1,"HasanAbi June 16, 2025 –",02:19:03,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=8343s,…ht? People talk about people talk about like the Democrats and how different they would be. This is from eight hours ago. Let's see what [ __ ] Joe Scarboro had to say. right now is is as escalation continues and again as Iran seems at least based on the reports we've heard to be basically helpless…
Joe Scarborough,Joe Scarborough,unverified_candidate,low,,0.583,Whisper,1,"HasanAbi June 16, 2025 –",02:19:03,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=8343s,"…People talk about, people talk about like the Democrats and how different they would be. This is from eight hours ago. Let's see what fucking Joe Scarborough had to say now is as escalation continues. And again, as Iran seems at least based on the reports we've heard to be basically helpless from s…"
John Donovan,John Donovan,unverified_candidate,low,,0.667,Whisper,1,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",00:14:41,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=881s,"…courge To the old american west here outside phoenix, arizona the kind of a place where only the tuck survives, where the only law was the gun. John Donovan, a soldier of Fortune Editor. You appreciate how some members of the general public"
John Federman,John Federman,unverified_candidate,low,,0.72,Whisper,1,"HasanAbi January 20, 2025 – TRUMP INAUGURATION 2 - Electric Boogaloo, Elon Musk salute",00:26:25,https://www.youtube.com/watch?v=vIRVK9Dulsw&t=1585s,"…. Okay. Of this upcoming, of this upcoming administration, but in terms of all the palace intrigue, in terms of like, Oh, Joe Biden, Oh drama, John Federman, did he wear? Did he wear a short and hoodie? Like what were Biden's last words? I don't care. Um, I do, I do think it's, it's stupid and sill…"
John Kennedy,John Kennedy,unverified_candidate,low,,0.667,Whisper,1,"1/2 HasanAbi November 18, 2021 – Hasan gets a Haircut, Ahmaud Arbery & Rittenhouse Trials, CHANNEL 5",02:42:03,https://www.youtube.com/watch?v=Yda6HZ0biOU&t=9723s,…t's all I'm saying it would be fucking sick and then have and then have that be automated how that be automated to beat the fucking shit out of John Kennedy when on Marova throws the fucking gauntlet and you tell all you tell all other chatter for schizo posting I'm just I have a beautiful imaginati…
Jordan Peterson You,Jordan Peterson You,unverified_candidate,low,,0.55,Whisper,1,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",00:39:54,https://www.youtube.com/watch?v=2e9z74OALRs&t=2394s,"…lp guidance is to you know, try to red pill people subtly And everyone was like dude, you're fucking suck you shut up. You're wrong. I love Jordan Peterson You're so wrong. I love him. I love him and I was so fucking right from Pop the bottom left to right start the fucking finish, dude People said…"
Judge Griffith,Judge Griffith,unverified_candidate,low,,0.538,Whisper,1,"1/2 HasanAbi March 22, 2022 – SCOTUS Senate Hearing, China Boeing 737 Crash w/ Austin, Trump on UA🇺🇦",01:10:45,https://www.youtube.com/watch?v=6UU4mD3d90Q&t=4245s,"…mpartial and fair judges do which is to decide in every case based only on the facts and the law of that case. And I'm very, very pleased that Judge Griffith has seen that in the years"
Kai Newkerk,Kai Newkerk,unverified_candidate,low,,0.6,YouTube captions,1,"HasanAbi June 16, 2026 –",00:21:51,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=1311s,"…o exist. >> Boom. >> I think is boom. Lame interview. You didn't even spit 16 bars. Um, I just wanted to reach out, correct one thing you said. Kai Newkerk is not"
Kai Newkirk,Kai Newkirk,unverified_candidate,low,,0.609,Whisper,1,"HasanAbi June 16, 2026 –",00:21:51,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=1311s,"…ht to exist. Boom. I think Israel, boom, lame interview. You didn't even spit 16 bars. I just wanted to reach out. Correct. One thing you said, Kai Newkirk is not endorsed by the local DC chapter in Phoenix. One of the coaches"
Kamala Harris,Kamala Harris,unverified_candidate,low,,0.818,Whisper,1,"HasanAbi October 21, 2024 – Israel-Lebanon, Maya Higa visits (Animal s*x), Gülen dead, Ethan H3",05:31:41,https://www.youtube.com/watch?v=P4plSZ5Im1A&t=19901s,"…who fucking harassed the Halal truck and got fired, a green beret who worked with the CIA, the man at the center is a passionate supporter of Kamala Harris. Motika Hanna says he's talking to the Israeli government about creating a pilot program for gated communities controlled by private U.S. secu…"
Kay Hivers,Kay Hivers,unverified_candidate,low,,0.64,Whisper,1,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",01:05:03,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=3903s,"…ple who hate this are who hate this policy, massive corporations. These are just your standard extremist centrist in Zionist, including old hate Kay Hivers who are just attacking anyone on their left. Now the Harris is coming from position of strength. It's an effort to ignore the left and propel si…"
Keith Ellison,Keith Ellison,unverified_candidate,low,,0.583,Whisper,1,"HasanAbi January 25, 2026 – Back in LA!",00:22:12,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=1332s,"…tting called out for looking like Bovino. That was me and my friends. You made our day after a hellish two weeks. Hell, yeah. Walls and Keith, Keith Ellison are speaking. Hey, look who it is. We'll get to that in a little bit. We'll get to that. I was alone and confused before I found you, Kirk. No…"
Keith Keith Ellison,Keith Keith Ellison,unverified_candidate,low,,0.526,YouTube captions,1,"HasanAbi January 25, 2026 – Back in LA!",00:22:12,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=1332s,"…etting called out for looking like Bino. That was me and my friends. You made our day after a hellish two weeks. Hell yeah. Um, Wallace and Keith Keith Ellison are speaking. Hey, look who it is. Uh, we'll get to that in a little bit. We'll get to that. I was alone and confused before I found you, K…"
